"sim","repl","diffmeas","exclLo","exclHi","pval"
1,TRUE,FALSE,0,0,0.525467597089894
1,TRUE,FALSE,0,0.025,0.547389743477607
1,FALSE,FALSE,0,0.025,0.699546209092583
1,FALSE,TRUE,0,0.025,0.563702310100749
1,TRUE,FALSE,0,0.05,0.541262588802168
1,FALSE,FALSE,0,0.05,0.525488427233465
1,FALSE,TRUE,0,0.05,0.601572331927336
1,TRUE,FALSE,0,0.075,0.541890427042538
1,FALSE,FALSE,0,0.075,0.661609259889183
1,FALSE,TRUE,0,0.075,0.533410397324084
1,TRUE,FALSE,0,0.1,0.538016162529961
1,FALSE,FALSE,0,0.1,0.508163364074692
1,FALSE,TRUE,0,0.1,0.579437518893781
1,TRUE,FALSE,0,0.15,0.558908795397903
1,FALSE,FALSE,0,0.15,0.800778863007858
1,FALSE,TRUE,0,0.15,0.459410757251892
1,TRUE,FALSE,0.025,0,0.423256065463137
1,FALSE,FALSE,0.025,0,0.205287026362406
1,FALSE,TRUE,0.025,0,0.563702310100749
1,TRUE,FALSE,0.025,0.025,0.442743330554846
1,FALSE,FALSE,0.025,0.025,0.311499147820627
1,FALSE,TRUE,0.025,0.025,0.563702310100749
1,TRUE,FALSE,0.025,0.05,0.434829188772658
1,FALSE,FALSE,0.025,0.05,0.191707839652246
1,FALSE,TRUE,0.025,0.05,0.601572331927336
1,TRUE,FALSE,0.025,0.075,0.435157621310858
1,FALSE,FALSE,0.025,0.075,0.271217854106294
1,FALSE,TRUE,0.025,0.075,0.533410397324084
1,TRUE,FALSE,0.025,0.1,0.430253684380301
1,FALSE,FALSE,0.025,0.1,0.172902798636563
1,FALSE,TRUE,0.025,0.1,0.579437518893781
1,TRUE,FALSE,0.025,0.15,0.446240630173326
1,FALSE,FALSE,0.025,0.15,0.349548933323089
1,FALSE,TRUE,0.025,0.15,0.459410757251892
1,TRUE,FALSE,0.05,0,0.409646672451823
1,FALSE,FALSE,0.05,0,0.0617329494762411
1,FALSE,TRUE,0.05,0,0.727376688341474
1,TRUE,FALSE,0.05,0.025,0.428738273979159
1,FALSE,FALSE,0.05,0.025,0.106323440933368
1,FALSE,TRUE,0.05,0.025,0.727376688341474
1,TRUE,FALSE,0.05,0.05,0.42060911976726
1,FALSE,FALSE,0.05,0.05,0.0504608381621153
1,FALSE,TRUE,0.05,0.05,0.776850630498883
1,TRUE,FALSE,0.05,0.075,0.420895834230452
1,FALSE,FALSE,0.05,0.075,0.0806785501197278
1,FALSE,TRUE,0.05,0.075,0.703284719374055
1,TRUE,FALSE,0.05,0.1,0.415870467150995
1,FALSE,FALSE,0.05,0.1,0.0401930585018516
1,FALSE,TRUE,0.05,0.1,0.750150998137187
1,TRUE,FALSE,0.05,0.15,0.431131050498831
1,FALSE,FALSE,0.05,0.15,0.106291501452514
1,FALSE,TRUE,0.05,0.15,0.610203647583894
1,TRUE,FALSE,0.075,0,0.330270463173695
1,FALSE,FALSE,0.075,0,0.10973973726207
1,FALSE,TRUE,0.075,0,0.813689511043808
1,TRUE,FALSE,0.075,0.025,0.347255195864795
1,FALSE,FALSE,0.075,0.025,0.183510480986508
1,FALSE,TRUE,0.075,0.025,0.813689511043808
1,TRUE,FALSE,0.075,0.05,0.337344307015766
1,FALSE,FALSE,0.075,0.05,0.0902086455597308
1,FALSE,TRUE,0.075,0.05,0.861242703477743
1,TRUE,FALSE,0.075,0.075,0.337350837969824
1,FALSE,FALSE,0.075,0.075,0.14029751035167
1,FALSE,TRUE,0.075,0.075,0.784543656033587
1,TRUE,FALSE,0.075,0.1,0.331308541955008
1,FALSE,FALSE,0.075,0.1,0.0715566244544094
1,FALSE,TRUE,0.075,0.1,0.836796232346367
1,TRUE,FALSE,0.075,0.15,0.342050819787626
1,FALSE,FALSE,0.075,0.15,0.179603443474218
1,FALSE,TRUE,0.075,0.15,0.698961813682959
1,TRUE,FALSE,0.1,0,0.301284436630343
1,FALSE,FALSE,0.1,0,0.190968653273758
1,FALSE,TRUE,0.1,0,0.912001828378798
1,TRUE,FALSE,0.1,0.025,0.317580977560214
1,FALSE,FALSE,0.1,0.025,0.307028662308253
1,FALSE,TRUE,0.1,0.025,0.912001828378798
1,TRUE,FALSE,0.1,0.05,0.306624391996967
1,FALSE,FALSE,0.1,0.05,0.161285246141885
1,FALSE,TRUE,0.1,0.05,0.956677507730941
1,TRUE,FALSE,0.1,0.075,0.30649708786032
1,FALSE,FALSE,0.1,0.075,0.241345588428596
1,FALSE,TRUE,0.1,0.075,0.877276574197825
1,TRUE,FALSE,0.1,0.1,0.299854481210688
1,FALSE,FALSE,0.1,0.1,0.130084664037001
1,FALSE,TRUE,0.1,0.1,0.935412721123118
1,TRUE,FALSE,0.1,0.15,0.308635164471481
1,FALSE,FALSE,0.1,0.15,0.302029684584274
1,FALSE,TRUE,0.1,0.15,0.802726744317323
1,TRUE,FALSE,0.15,0,0.276762861935748
1,FALSE,FALSE,0.15,0,0.177908197578728
1,FALSE,TRUE,0.15,0,0.70749883371932
1,TRUE,FALSE,0.15,0.025,0.293628912220468
1,FALSE,FALSE,0.15,0.025,0.296376605264894
1,FALSE,TRUE,0.15,0.025,0.70749883371932
1,TRUE,FALSE,0.15,0.05,0.279193840412625
1,FALSE,FALSE,0.15,0.05,0.14203839962186
1,FALSE,TRUE,0.15,0.05,0.781531771229045
1,TRUE,FALSE,0.15,0.075,0.278779836064688
1,FALSE,FALSE,0.15,0.075,0.220124355636009
1,FALSE,TRUE,0.15,0.075,0.710716397366833
1,TRUE,FALSE,0.15,0.1,0.270086845152514
1,FALSE,FALSE,0.15,0.1,0.107271282351137
1,FALSE,TRUE,0.15,0.1,0.758097377314026
1,TRUE,FALSE,0.15,0.15,0.275981833229347
1,FALSE,FALSE,0.15,0.15,0.272038477410415
1,FALSE,TRUE,0.15,0.15,0.599840635604947
